0.000,0.200,0.728,0.942,1.480,1.241,0.870,1.626,0.493,1.148,1.373,1.138,1.252,1.079,0.807,1.715,0.246,0.332,0.864,0.925,0.630,1.000,1.140
0.200,0.000,0.753,0.919,1.443,1.377,1.030,1.660,0.429,1.096,1.296,1.158,1.235,1.266,1.004,1.730,0.433,0.397,0.766,1.017,0.766,1.121,1.015
0.728,0.753,0.000,0.273,0.793,0.829,0.692,0.908,0.383,0.519,0.786,0.410,0.544,1.049,0.978,0.987,0.656,0.398,0.493,0.376,0.444,0.559,0.773
0.942,0.919,0.273,0.000,0.540,0.993,0.938,0.798,0.494,0.246,0.514,0.309,0.315,1.298,1.248,0.830,0.910,0.628,0.367,0.551,0.711,0.746,0.576
1.480,1.443,0.793,0.540,0.000,1.254,1.353,0.589,1.013,0.354,0.317,0.487,0.259,1.701,1.721,0.496,1.446,1.168,0.740,0.918,1.191,1.086,0.718
1.241,1.377,0.829,0.993,1.254,0.000,0.415,0.890,1.162,1.185,1.429,0.793,1.032,0.577,0.794,1.067,1.020,0.993,1.314,0.455,0.613,0.275,1.567
0.870,1.030,0.692,0.938,1.353,0.415,0.000,1.155,0.919,1.174,1.441,0.867,1.099,0.360,0.417,1.312,0.633,0.685,1.174,0.436,0.294,0.307,1.463
1.626,1.660,0.908,0.798,0.589,0.890,1.155,0.000,1.264,0.788,0.890,0.507,0.547,1.442,1.570,0.182,1.502,1.294,1.142,0.772,1.124,0.848,1.237
0.493,0.429,0.383,0.494,1.013,1.162,0.919,1.264,0.000,0.668,0.882,0.757,0.809,1.240,1.068,1.318,0.560,0.281,0.377,0.731,0.626,0.887,0.669
1.148,1.096,0.519,0.246,0.354,1.185,1.174,0.788,0.668,0.000,0.269,0.410,0.241,1.534,1.494,0.765,1.142,0.852,0.391,0.767,0.957,0.959,0.453
1.373,1.296,0.786,0.514,0.317,1.429,1.441,0.890,0.882,0.269,0.000,0.636,0.409,1.800,1.762,0.812,1.392,1.098,0.536,1.027,1.225,1.216,0.422
1.138,1.158,0.410,0.309,0.487,0.793,0.867,0.507,0.757,0.410,0.636,0.000,0.242,1.214,1.244,0.577,1.044,0.806,0.675,0.431,0.727,0.601,0.845
1.252,1.235,0.544,0.315,0.259,1.032,1.099,0.547,0.809,0.241,0.409,0.242,0.000,1.451,1.462,0.537,1.199,0.931,0.607,0.667,0.932,0.842,0.693
1.079,1.266,1.049,1.298,1.701,0.577,0.360,1.442,1.240,1.534,1.800,1.214,1.451,0.000,0.327,1.611,0.835,0.980,1.522,0.784,0.625,0.621,1.817
0.807,1.004,0.978,1.248,1.721,0.794,0.417,1.570,1.068,1.494,1.762,1.244,1.462,0.327,0.000,1.724,0.575,0.790,1.400,0.825,0.537,0.723,1.703
1.715,1.730,0.987,0.830,0.496,1.067,1.312,0.182,1.318,0.765,0.812,0.577,0.537,1.611,1.724,0.000,1.612,1.383,1.144,0.910,1.255,1.006,1.194
0.246,0.433,0.656,0.910,1.446,1.020,0.633,1.502,0.560,1.142,1.392,1.044,1.199,0.835,0.575,1.612,0.000,0.296,0.931,0.756,0.423,0.797,1.228
0.332,0.397,0.398,0.628,1.168,0.993,0.685,1.294,0.281,0.852,1.098,0.806,0.931,0.980,0.790,1.383,0.296,0.000,0.639,0.620,0.397,0.729,0.940
0.864,0.766,0.493,0.367,0.740,1.314,1.174,1.142,0.377,0.391,0.536,0.675,0.607,1.522,1.400,1.144,0.931,0.639,0.000,0.860,0.899,1.049,0.303
0.925,1.017,0.376,0.551,0.918,0.455,0.436,0.772,0.731,0.767,1.027,0.431,0.667,0.784,0.825,0.910,0.756,0.620,0.860,0.000,0.354,0.195,1.118
0.630,0.766,0.444,0.711,1.191,0.613,0.294,1.124,0.626,0.957,1.225,0.727,0.932,0.625,0.537,1.255,0.423,0.397,0.899,0.354,0.000,0.374,1.196
1.000,1.121,0.559,0.746,1.086,0.275,0.307,0.848,0.887,0.959,1.216,0.601,0.842,0.621,0.723,1.006,0.797,0.729,1.049,0.195,0.374,0.000,1.313
1.140,1.015,0.773,0.576,0.718,1.567,1.463,1.237,0.669,0.453,0.422,0.845,0.693,1.817,1.703,1.194,1.228,0.940,0.303,1.118,1.196,1.313,0.000
