0.000,2.000,7.000,10.000,14.000,11.000,8.000,15.000,4.000,12.000,12.000,11.000,12.000,10.000,7.000,16.000,2.000,4.000,7.000,9.000,7.000,9.000,10.000
2.000,0.000,7.000,10.000,14.000,13.000,10.000,15.000,4.000,12.000,12.000,11.000,12.000,12.000,9.000,16.000,4.000,4.000,6.000,9.000,8.000,10.000,9.000
7.000,7.000,0.000,3.000,8.000,9.000,6.000,10.000,4.000,5.000,6.000,5.000,6.000,9.000,6.000,11.000,6.000,4.000,4.000,4.000,4.000,6.000,5.000
10.000,10.000,3.000,0.000,6.000,10.000,8.000,10.000,7.000,3.000,6.000,5.000,5.000,11.000,8.000,11.000,9.000,7.000,5.000,5.000,6.000,7.000,5.000
14.000,14.000,8.000,6.000,0.000,11.000,10.000,10.000,12.000,4.000,5.000,5.000,3.000,13.000,12.000,11.000,13.000,12.000,10.000,6.000,8.000,8.000,7.000
11.000,13.000,9.000,10.000,11.000,0.000,3.000,8.000,11.000,11.000,13.000,7.000,9.000,4.000,6.000,9.000,9.000,11.000,12.000,5.000,5.000,3.000,12.000
8.000,10.000,6.000,8.000,10.000,3.000,0.000,10.000,8.000,10.000,10.000,7.000,8.000,5.000,5.000,11.000,6.000,8.000,9.000,4.000,2.000,2.000,9.000
15.000,15.000,10.000,10.000,10.000,8.000,10.000,0.000,13.000,10.000,13.000,6.000,8.000,11.000,13.000,2.000,14.000,13.000,14.000,8.000,10.000,10.000,14.000
4.000,4.000,4.000,7.000,12.000,11.000,8.000,13.000,0.000,9.000,9.000,9.000,10.000,11.000,8.000,14.000,5.000,2.000,3.000,7.000,6.000,8.000,6.000
12.000,12.000,5.000,3.000,4.000,11.000,10.000,10.000,9.000,0.000,7.000,5.000,3.000,13.000,10.000,11.000,11.000,9.000,7.000,6.000,8.000,8.000,7.000
12.000,12.000,6.000,6.000,5.000,13.000,10.000,13.000,9.000,7.000,0.000,8.000,6.000,13.000,10.000,14.000,11.000,9.000,6.000,9.000,8.000,10.000,3.000
11.000,11.000,5.000,5.000,5.000,7.000,7.000,6.000,9.000,5.000,8.000,0.000,3.000,10.000,9.000,7.000,10.000,9.000,9.000,3.000,5.000,5.000,9.000
12.000,12.000,6.000,5.000,3.000,9.000,8.000,8.000,10.000,3.000,6.000,3.000,0.000,11.000,10.000,9.000,11.000,10.000,10.000,4.000,6.000,6.000,7.000
10.000,12.000,9.000,11.000,13.000,4.000,5.000,11.000,11.000,13.000,13.000,10.000,11.000,0.000,5.000,12.000,8.000,11.000,12.000,7.000,6.000,5.000,12.000
7.000,9.000,6.000,8.000,12.000,6.000,5.000,13.000,8.000,10.000,10.000,9.000,10.000,5.000,0.000,14.000,5.000,8.000,9.000,6.000,4.000,6.000,9.000
16.000,16.000,11.000,11.000,11.000,9.000,11.000,2.000,14.000,11.000,14.000,7.000,9.000,12.000,14.000,0.000,15.000,14.000,15.000,9.000,11.000,11.000,15.000
2.000,4.000,6.000,9.000,13.000,9.000,6.000,14.000,5.000,11.000,11.000,10.000,11.000,8.000,5.000,15.000,0.000,5.000,8.000,7.000,5.000,7.000,9.000
4.000,4.000,4.000,7.000,12.000,11.000,8.000,13.000,2.000,9.000,9.000,9.000,10.000,11.000,8.000,14.000,5.000,0.000,5.000,7.000,6.000,8.000,7.000
7.000,6.000,4.000,5.000,10.000,12.000,9.000,14.000,3.000,7.000,6.000,9.000,10.000,12.000,9.000,15.000,8.000,5.000,0.000,8.000,7.000,9.000,3.000
9.000,9.000,4.000,5.000,6.000,5.000,4.000,8.000,7.000,6.000,9.000,3.000,4.000,7.000,6.000,9.000,7.000,7.000,8.000,0.000,2.000,2.000,8.000
7.000,8.000,4.000,6.000,8.000,5.000,2.000,10.000,6.000,8.000,8.000,5.000,6.000,6.000,4.000,11.000,5.000,6.000,7.000,2.000,0.000,2.000,7.000
9.000,10.000,6.000,7.000,8.000,3.000,2.000,10.000,8.000,8.000,10.000,5.000,6.000,5.000,6.000,11.000,7.000,8.000,9.000,2.000,2.000,0.000,9.000
10.000,9.000,5.000,5.000,7.000,12.000,9.000,14.000,6.000,7.000,3.000,9.000,7.000,12.000,9.000,15.000,9.000,7.000,3.000,8.000,7.000,9.000,0.000
